audio_file|text|speaker_name
102912\audio.wav|it's important to be an open like and she has a tomatoes|indian_male
10297\audio.wav|were we going to get him|indian_male
102977\audio.wav|what a shame traced his tent|indian_male
102982\audio.wav|some time during the second year you will remember about the treasure|indian_male
103011\audio.wav|a sight for sore|indian_male
10302\audio.wav|he is the priest to|indian_male
103030\audio.wav|and the ban had called the monk and the boy looked at it dazzled|indian_male
103071\audio.wav|we are old and as one nomenclature of mota|indian_male
103096\audio.wav|what could i tell him|indian_male
103106\audio.wav|the genesee is unification|indian_male
103119\audio.wav|an enlisted press with intirely|indian_male
103130\audio.wav|they are only a glad of their new|indian_male
103137\audio.wav|i told them everything they do|indian_male
103176\audio.wav|it is in forestry of aesthetic rose|indian_male
10319\audio.wav|can i do now|indian_male
103227\audio.wav|the newfound office|indian_male
103241\audio.wav|bion pancakes and maple sirup is a hardy start to and|indian_male
103247\audio.wav|or of the substantive|indian_male
103264\audio.wav|what is it you are looking for asked the art with an|indian_male
103314\audio.wav|alfonso the place|indian_male
103346\audio.wav|after for|indian_male
103361\audio.wav|you minutely everything entered in this went irritated|indian_male
103405\audio.wav|but forcing matter look at ward and at horizons i have never known|indian_male
103417\audio.wav|got to get to a|indian_male
103435\audio.wav|when i send to the senate|indian_male
103444\audio.wav|that's all you|indian_male
103466\audio.wav|why don't he want with the calm|indian_male
103585\audio.wav|panic matamo|indian_male
103588\audio.wav|the race to classes in the world bar|indian_male
103625\audio.wav|just decently|indian_male
103711\audio.wav|the old man bore a breast plate of heavy gold guard with grass stones|indian_male
10378\audio.wav|and at that i told him and he took my place|indian_male
1038\audio.wav|a gens were spirits of good and evil|indian_male
103860\audio.wav|on the very first page in described a burial summoning|indian_male
103867\audio.wav|the englishman was disappointed|indian_male
103893\audio.wav|then he realized he had been distracted for a few moments looking at the sword|indian_male
103907\audio.wav|he decided to stay like that an over despite|indian_male
103923\audio.wav|a lady is the poet and to my|indian_male
103924\audio.wav|as a|indian_male
103989\audio.wav|for this one was for and water|indian_male
104024\audio.wav|the case gioras runty from some|indian_male
104103\audio.wav|the secretary tacticals five|indian_male
104125\audio.wav|the population was increasing its princely|indian_male
104150\audio.wav|to|indian_male
104162\audio.wav|you can't believe it on matter|indian_male
104236\audio.wav|deluded to bear suffering is worse and the supper itself|indian_male
104243\audio.wav|the sun began to departure as well|indian_male
104251\audio.wav|barbary is a terrible form of poker|indian_male
104281\audio.wav|the hare for the bite|indian_male
104303\audio.wav|if you can consider it all with on the present you'll be happy man|indian_male
104385\audio.wav|your sudden went to serve at the temple and became essential|indian_male
104412\audio.wav|it looked like a rusty gas|indian_male
104415\audio.wav|it all had the joy between honan damp i was due the latter|indian_male
10443\audio.wav|that one thought was funny|indian_male
104584\audio.wav|the best big past|indian_male
104652\audio.wav|but don't take my word for it|indian_male
104771\audio.wav|all had this grand as we lay savane passes before the|indian_male
104799\audio.wav|it is something said disasters undergoing the out|indian_male
104984\audio.wav|i left my father my mother and the town castle behind|indian_male
105003\audio.wav|or have the worse weariful voice you have ever heard|indian_male
105022\audio.wav|i've always looked on bessy as my own sister|indian_male
105049\audio.wav|the man looked at the angel in surprise|indian_male
105075\audio.wav|he seemed unfriendly and had no edited and the boy had entered|indian_male
105085\audio.wav|a little rejoined princely|indian_male
10511\audio.wav|i foreknow sandy beneath it|indian_male
10518\audio.wav|anderson was taking an|indian_male
10528\audio.wav|we do who have the possible before understanding carpenter he said|indian_male
105327\audio.wav|dane led me vicereine|indian_male
105358\audio.wav|the arabs not at him and alchemilla alone|indian_male
105392\audio.wav|is that towards the peculiar|indian_male
105446\audio.wav|what jackie right on the star|indian_male
105483\audio.wav|as longer there is water in a cooking pot the temperate cannot rise above a hundred degrees elsie|indian_male
105491\audio.wav|else you get it in fifteen minutes|indian_male
105677\audio.wav|he began to dig at the base of the second one|indian_male
105695\audio.wav|you do fellows with india|indian_male
105719\audio.wav|that night he told all of this to the alchemist|indian_male
105732\audio.wav|but that was now and straw|indian_male
105756\audio.wav|i remember how i thought one of tartarin the flatness with pauses pretention swimming the former yes|indian_male
105777\audio.wav|there are no more describe our the secular days|indian_male
105794\audio.wav|now look for your den|indian_male
105855\audio.wav|the equities|indian_male
105886\audio.wav|the police finally man is to get him out of the path|indian_male
105893\audio.wav|that so far from the bedroom|indian_male
105914\audio.wav|just the osteria|indian_male
105928\audio.wav|the boy was shot|indian_male
105965\audio.wav|how long is it|indian_male
106084\audio.wav|so his heart was quite an entire afternoon|indian_male
106088\audio.wav|the hand that i bokes love and great to insure pertain the|indian_male
106151\audio.wav|this he feared a bit water had left|indian_male
106153\audio.wav|a sail men|indian_male
106178\audio.wav|there oswego|indian_male
106180\audio.wav|some day to|indian_male
10622\audio.wav|the vitals were on his tired partisans for the presidency|indian_male
106296\audio.wav|was he doing here|indian_male
106434\audio.wav|much better than the old man|indian_male
106552\audio.wav|in the book|indian_male
106637\audio.wav|all enjoying london|indian_male
106650\audio.wav|i finally have enough money and all the time i made|indian_male
106672\audio.wav|you have ended it often enough|indian_male
106693\audio.wav|he had beaten|indian_male
106748\audio.wav|but only let are divided controversy|indian_male
106754\audio.wav|she asked a thin|indian_male
106815\audio.wav|a pestering your love at adene|indian_male
106966\audio.wav|i know question or stanton bad everything was staring tobacco|indian_male
107003\audio.wav|one to me what we do|indian_male
107029\audio.wav|when he speaks in a language i can interpret what he had said|indian_male
107044\audio.wav|it was the desert|indian_male
107068\audio.wav|a children more creative than other|indian_male
107082\audio.wav|but don't let that out of your sight|indian_male
107088\audio.wav|have you seen him|indian_male
107092\audio.wav|it is the maid|indian_male
107138\audio.wav|so a man in delicious made for her|indian_male
107142\audio.wav|we can let the grown chilly get the laugh on|indian_male
107289\audio.wav|the job of the cylinder was rotating on its body|indian_male
107292\audio.wav|relax and unharried he resolved that he would walk through the narrow streets of tangiers|indian_male
107293\audio.wav|he says a second of a lifetime|indian_male
107319\audio.wav|and that the fear to the new people gave|indian_male
107384\audio.wav|notes seated|indian_male
107473\audio.wav|well i don't quite know what to say|indian_male
107490\audio.wav|they dismounted and the ulemas senate|indian_male
107501\audio.wav|no one paid any tention to that too clever|indian_male
107573\audio.wav|if he has n't he said inly her set in a fonk|indian_male
107579\audio.wav|one mite with him|indian_male
107627\audio.wav|your gestate used to be|indian_male
107646\audio.wav|aumenier later i watch as rantaway caricaturing by conical my vol|indian_male
107678\audio.wav|he was taken to repeat the some one|indian_male
107734\audio.wav|the spectacle magic singers was strange more on the levee treatment|indian_male
107834\audio.wav|the song has been done in a most good ford from a scabbard mounted on a sad|indian_male
10800\audio.wav|i within a mandate by the same and|indian_male
108038\audio.wav|but the pot was wondered at not africa|indian_male
10804\audio.wav|amazing the wabeno|indian_male
108073\audio.wav|letting his milton do i descended the stairs silently|indian_male
108128\audio.wav|i am a woman of the desert she said averting her face|indian_male
108187\audio.wav|he tried with all his strength to regain the door in a panic|indian_male
108204\audio.wav|there are many languages spoken by things the voice said|indian_male
108254\audio.wav|at the italian also herein also pitied itinerant|indian_male
1083\audio.wav|the onontake of man|indian_male
108317\audio.wav|i may|indian_male
108432\audio.wav|it is save at a feudal and higher somebody to|indian_male
108468\audio.wav|we must prepare for it|indian_male
108507\audio.wav|i shall make us some acres|indian_male
108537\audio.wav|fatima was more important than the stretcher|indian_male
108681\audio.wav|right on the second floor the|indian_male
108749\audio.wav|better hurry and she|indian_male
108814\audio.wav|there are fountains possibly people for reason feats on a board of chit|indian_male
108864\audio.wav|as i agree|indian_male
109006\audio.wav|want to walk to new york|indian_male
109068\audio.wav|in those days were of the people are an ilyat astronomy|indian_male
109087\audio.wav|the sister was more unction|indian_male
109121\audio.wav|the boy watched as with continent went to his horse and with drew his cimeter|indian_male
109156\audio.wav|it's not die the vinegar|indian_male
109241\audio.wav|the office is like a tub|indian_male
109382\audio.wav|the key had founded did and dreamed monition and bathing in|indian_male
109389\audio.wav|she could in decide there to get a show or to have a bath|indian_male
109434\audio.wav|i didn't tell anybody|indian_male
109469\audio.wav|remember the night we broke the windows in the old house|indian_male
109470\audio.wav|in evangeline saw happen shorn the issue age|indian_male
109473\audio.wav|i had the everyone has gary beauty speed demon|indian_male
10955\audio.wav|it seemed to him that it fell to us about one hundred miles east of her|indian_male
109593\audio.wav|he was the detritus from the sea|indian_male
109631\audio.wav|what estimate|indian_male
10969\audio.wav|it is our meditation|indian_male
109714\audio.wav|then i have to make any decision|indian_male
109720\audio.wav|this is all the boy|indian_male
109809\audio.wav|it's been a long time since she loved red shakos and because of that she no longer peace like the heroine of her story|indian_male
109820\audio.wav|he reddening intellect sister|indian_male
109822\audio.wav|only shadowed there of the few carted pine trees|indian_male
10996\audio.wav|i never more aware of a room sticks then when and trying to enjoy a smack i have none of sherry|indian_male
110011\audio.wav|the garden leaving to day for also|indian_male
110044\audio.wav|the man be enemies is a word paced to cast|indian_male
110070\audio.wav|the boys to do shakily and looked once more at the pale|indian_male
110117\audio.wav|a cheild no explanation just as the universe needs none as a travels through endless time|indian_male
110133\audio.wav|you've never been born|indian_male
110135\audio.wav|it was thus that he couldn't grasp what it meant|indian_male
110168\audio.wav|they were no less and they were held in fear by men and there|indian_male
110170\audio.wav|and look how many things the i or let in new how to do|indian_male
110189\audio.wav|the unknown the wall the land so we can continue our journey he said|indian_male
110200\audio.wav|i told him that was what i had come here to learn|indian_male
110260\audio.wav|the white don't we go there right now the boy asked|indian_male
110261\audio.wav|he sat on the stone and allowed himself to become heated by the hot|indian_male
110384\audio.wav|i wish i could remember the name of the cold milk face served in a box|indian_male
110387\audio.wav|she was all done the boy as|indian_male
110412\audio.wav|motors die bibit|indian_male
110424\audio.wav|he really detested|indian_male
110491\audio.wav|it in on his and to begin furnishing the old woman dared he was would|indian_male
110577\audio.wav|he put his head got in place and secured with the ring men of camels|indian_male
110615\audio.wav|his life on his part had arrested him with enough omens|indian_male
110636\audio.wav|full of inward for the red|indian_male
11065\audio.wav|musha been a pretty good peter|indian_male
110670\audio.wav|it was a ray of forty best brown seccotine die all of its direction so|indian_male
110677\audio.wav|the amoeba the son bring on|indian_male
110709\audio.wav|but men begin to reject them partings and the red race in oppression and prosecute studies|indian_male
110792\audio.wav|i want to doucebelle to offend|indian_male
110839\audio.wav|but|indian_male
110856\audio.wav|what do you need|indian_male
110936\audio.wav|then as have any friends|indian_male
110978\audio.wav|try to fix that fisher with gloom|indian_male
110979\audio.wav|he really was a king|indian_male
11103\audio.wav|that's what a man into again as|indian_male
111126\audio.wav|yet in france is hard wid a bit faster|indian_male
111171\audio.wav|it called the principle of favorable|indian_male
111174\audio.wav|out of the male bees|indian_male
111206\audio.wav|two yellows one distinction lay a logician|indian_male
111247\audio.wav|grand might feel less|indian_male
111282\audio.wav|i have a sad tale thence a autopsies|indian_male
111437\audio.wav|it was a|indian_male
111446\audio.wav|we can set alas from|indian_male
111454\audio.wav|and about law and don't forget to follow your destinate through to its conclusion|indian_male
111597\audio.wav|together|indian_male
111623\audio.wav|the time must have been somewhere on secure|indian_male
111661\audio.wav|the attitudes on the table was and we need money the defeated|indian_male
111677\audio.wav|all i got to do is talk to him|indian_male
111682\audio.wav|i'm going to miss annie|indian_male
111730\audio.wav|all you want or of the ravished being recycled in this country|indian_male
111764\audio.wav|nobody knew for alora|indian_male
111795\audio.wav|i am leaving to day said the boy|indian_male
111885\audio.wav|there are right in there on the day|indian_male
111916\audio.wav|the boy reminded the old man but he had said something about it in treasure|indian_male
112013\audio.wav|a ghostly figure appeared|indian_male
112048\audio.wav|letty too|indian_male
112099\audio.wav|i was surely helping|indian_male
112117\audio.wav|i never had any such idea|indian_male
112209\audio.wav|that's why i am here in nominal of had done|indian_male
112242\audio.wav|you forgot to pack it|indian_male
112294\audio.wav|that's where i'm going|indian_male
112414\audio.wav|mice i as good for the lower|indian_male
112467\audio.wav|it looplike rusty gas broad|indian_male
112527\audio.wav|he opposed the match and was surprised at the size of the shape|indian_male
112594\audio.wav|but he knew that selinas in an igloo|indian_male
112629\audio.wav|the fee for as a|indian_male
112688\audio.wav|i wanta see that mark covered the fore we get to|indian_male
112751\audio.wav|no sense missing of the street|indian_male
112832\audio.wav|he won't immensely excited at the news|indian_male
112871\audio.wav|he no more i was thinking the boy said to himself|indian_male
112885\audio.wav|the end was satisfied to the old to|indian_male
112929\audio.wav|then she took both of his hands in hers and began quietly to pray|indian_male
112973\audio.wav|all things are one the old man had said|indian_male
112984\audio.wav|like many tresses|indian_male
113017\audio.wav|night fell and an assortment of fighting men and merchants and tired and excited the tent|indian_male
113038\audio.wav|but you could bring them in here|indian_male
113057\audio.wav|once again said selenin manage without food|indian_male
113165\audio.wav|he thanked the town by a bridle into book that a man had been big|indian_male
113239\audio.wav|i can't stand the sight of blood|indian_male
113245\audio.wav|i want to get by to my ship faster|indian_male
11328\audio.wav|and the order of the animals became a bit more tolerable|indian_male
113315\audio.wav|i taste|indian_male
113329\audio.wav|and smoking too much|indian_male
113516\audio.wav|the vision managed immediately a detached him|indian_male
113550\audio.wav|right i would like to see their line and see how they live said the sun|indian_male
113575\audio.wav|a man in your in|indian_male
113588\audio.wav|he saw the boy ever from the other side of the dunes|indian_male
113621\audio.wav|be founded much more interesting to operation and the sea|indian_male
113666\audio.wav|love is the force that one farm and improves the soul of the void|indian_male
113705\audio.wav|dante i don't know it|indian_male
113762\audio.wav|eugenie|indian_male
113788\audio.wav|doricles all the surfaces it was disgustingly tiki|indian_male
113874\audio.wav|it said to him that it fell to her about one hundred miles east of here|indian_male
113987\audio.wav|wearing his new ones he descended serenely|indian_male
114056\audio.wav|the omissions|indian_male
114139\audio.wav|if i am on the march i just concentrate on matching|indian_male
114141\audio.wav|he wore in hatton cleaning he said|indian_male
114185\audio.wav|the sunset faded into twilight before anything else happened|indian_male
11425\audio.wav|its corn the pens abler weevily|indian_male
114263\audio.wav|i also hoping to hear from others so peace was your own ideas in the comments and tell me what i could do better|indian_male
114374\audio.wav|he made|indian_male
11447\audio.wav|if what one finds is made of pure matter it will never spoil|indian_male
114481\audio.wav|victoria get things in a much below|indian_male
114486\audio.wav|how can you tell|indian_male
114505\audio.wav|an hour later he had before him a chest of spanish gold coins|indian_male
114519\audio.wav|i just know that that religion is always try|indian_male
114539\audio.wav|the man looked at the angel and elfric|indian_male
114548\audio.wav|the side step there was a heap of bicycles|indian_male
114581\audio.wav|we are censoring through some user interviews are|indian_male
114597\audio.wav|this was my destiny not to the alchemist answer|indian_male
114691\audio.wav|i am economical|indian_male
114726\audio.wav|i am in a good moreno|indian_male
114810\audio.wav|the boy possibilities|indian_male
114820\audio.wav|the attenuating office|indian_male
114821\audio.wav|can't be a rear|indian_male
114886\audio.wav|when gorman if your body|indian_male
114894\audio.wav|i see one|indian_male
114941\audio.wav|i know its dimensions and how it lays|indian_male
115008\audio.wav|they mounted their horses|indian_male
115027\audio.wav|i think maybe you'd better|indian_male
115035\audio.wav|rarely ever seen such a collection of poorly motivated implemented|indian_male
115082\audio.wav|the risible make|indian_male
115097\audio.wav|i start in cold|indian_male
115131\audio.wav|other may have entirely|indian_male
115135\audio.wav|the atascadero tree feet a|indian_male
115153\audio.wav|it usually customary to bring the money with you|indian_male
115244\audio.wav|if done in america all the time|indian_male
115259\audio.wav|mother had one in|indian_male
115297\audio.wav|it is you my dad was a holy gave|indian_male
115362\audio.wav|he called the passive of fallibility began la|indian_male
115528\audio.wav|on the upended the boy glanced to the top of a playing at the camp|indian_male
115554\audio.wav|that he had attended a serene on building was extreme|indian_male
11557\audio.wav|the men fell into an animated discussion|indian_male
115614\audio.wav|i could and have been done|indian_male
115643\audio.wav|at what are you one|indian_male
115674\audio.wav|then he tolerated it that his jacket and came out into the road|indian_male
11569\audio.wav|it was the oration|indian_male
115706\audio.wav|there is only one way to learn the alchemist on certain|indian_male
11572\audio.wav|where i get it|indian_male
115788\audio.wav|the englishman then down ter him directly|indian_male
115862\audio.wav|now he was alone said the boy to the young arab|indian_male
115865\audio.wav|i'm not rubbing it in|indian_male
11590\audio.wav|the proposer lost wisely|indian_male
115929\audio.wav|after he was keeping|indian_male
115965\audio.wav|cicero|indian_male
116020\audio.wav|so if i have the man|indian_male
116035\audio.wav|van moved at the interest wooden|indian_male
116101\audio.wav|do you know what|indian_male
116111\audio.wav|how to get into|indian_male
116160\audio.wav|maybe loretto|indian_male
116183\audio.wav|the son were also|indian_male
116265\audio.wav|a looking for you all morning he said as it is a boosa|indian_male
116301\audio.wav|caramansa the bit|indian_male
116347\audio.wav|when the lad had become liquid the alchemist took from his pouch the strange allow egg|indian_male
116352\audio.wav|the boy reminded the old man that he had said something about hidden fresher|indian_male
116392\audio.wav|is she running a temperature|indian_male
116393\audio.wav|isolation the holy astraea|indian_male
116470\audio.wav|a beyond it just is standing by the vain writing to catin|indian_male
116473\audio.wav|no one seemed to have thought about it that night|indian_male
116484\audio.wav|rarely a long list|indian_male
116498\audio.wav|but then he stopped|indian_male
116569\audio.wav|next morning they were consulting and men ate dorthe barreau|indian_male
116571\audio.wav|an orange men promoted it we might then be able to see the overeaten|indian_male
116661\audio.wav|he had never even be in front of his will she|indian_male
116815\audio.wav|the words speak many languages the boy to|indian_male
116834\audio.wav|a friend had gone the boy above shop and he taking his seat|indian_male
116877\audio.wav|the alchemist is two hundred years old the englishman a told him|indian_male
116994\audio.wav|it is fine it soon after god and not far from the tent|indian_male
117044\audio.wav|you like|indian_male
117078\audio.wav|we were all made by the same hand and we have the same soul|indian_male
117107\audio.wav|i sure there not all the|indian_male
117136\audio.wav|and i want you to know that i'm coming back|indian_male
11717\audio.wav|isolation about the case is laced i was raw|indian_male
11724\audio.wav|a bed i wish i never been born|indian_male
117240\audio.wav|but you are a little girl|indian_male
11730\audio.wav|he knows the two|indian_male
117434\audio.wav|at the top of the skyscraper was a suspicious cities|indian_male
117468\audio.wav|and she ooryas had peter feel|indian_male
117512\audio.wav|that's not true the boy says|indian_male
11756\audio.wav|he can the planet with the naked eye|indian_male
117600\audio.wav|what what you|indian_male
117657\audio.wav|i won't let you|indian_male
117675\audio.wav|with a tenantless|indian_male
117689\audio.wav|i had a meal from arch to day|indian_male
117768\audio.wav|the boy began to take into an|indian_male
117793\audio.wav|many of the reviews in the odor of sasebo to manfully surround|indian_male
117820\audio.wav|is the only one|indian_male
117870\audio.wav|give the mother a topic|indian_male
117894\audio.wav|why did they call you back|indian_male
117929\audio.wav|a man at|indian_male
117951\audio.wav|the heinies provided him|indian_male
117973\audio.wav|the district|indian_male
118027\audio.wav|sonia|indian_male
118098\audio.wav|there are many languages can buy things for pose|indian_male
118165\audio.wav|see dear until|indian_male
118224\audio.wav|at last when song came back and cantered|indian_male
118247\audio.wav|dat cuno the boy talk awfully|indian_male
118293\audio.wav|where wollaston|indian_male
118304\audio.wav|he shouted in|indian_male
118309\audio.wav|maybe that's why the game|indian_male
118389\audio.wav|many of whom are on less and hungry|indian_male
118431\audio.wav|and that he a boy would abominate|indian_male
118448\audio.wav|i know why i want get but i walk he took|indian_male
118454\audio.wav|his hands abraded and exhausted but he is in his heart|indian_male
118491\audio.wav|i'm just a fool|indian_male
118506\audio.wav|i am not going to call you anything now she said|indian_male
118507\audio.wav|so ben i learned in all to look in and her|indian_male
118548\audio.wav|only in the air would he be able to lead them on a|indian_male
118553\audio.wav|i know why i want to get back to my clock he thought|indian_male
118630\audio.wav|i used to live near a care he said|indian_male
11864\audio.wav|the male definitely has sufficed|indian_male
118654\audio.wav|the organ or unit|indian_male
11866\audio.wav|the accuser to the boy|indian_male
118703\audio.wav|the national didn't answer on that happy|indian_male
118750\audio.wav|he|indian_male
118798\audio.wav|that makes sense the alchemist anson|indian_male
118813\audio.wav|i adelaide|indian_male
118816\audio.wav|a sadly they overate cinders made in muslin percival and the boy filled peter|indian_male
118841\audio.wav|life to meet|indian_male
118905\audio.wav|now i will be this all|indian_male
118952\audio.wav|it began to ride out over the sand with the moon lighting their way|indian_male
11896\audio.wav|the blind knew a lot of people in the city|indian_male
118960\audio.wav|but when began to get in berlin and to it places the fatal loss oysters|indian_male
118975\audio.wav|in ordination are|indian_male
119129\audio.wav|there come|indian_male
119154\audio.wav|she sitting down on the field of airing only fencing drop|indian_male
119175\audio.wav|he has other things to the first|indian_male
119290\audio.wav|he to the back of his jacket with a blue for ben|indian_male
119303\audio.wav|but she had a garmenting|indian_male
119350\audio.wav|so leonie to|indian_male
119363\audio.wav|because of the home the alcoran start|indian_male
119422\audio.wav|i ain't got green|indian_male
119510\audio.wav|the boy left as well but from the scenes|indian_male
119511\audio.wav|i cried in the near sterner into the hole|indian_male
119533\audio.wav|for the treat to find him on the|indian_male
119586\audio.wav|i read all the wood the birds wanted to telling|indian_male
11962\audio.wav|that night there was another getting out of gas from the distance an|indian_male
119697\audio.wav|they say to the boy|indian_male
119702\audio.wav|i had a dream and i met with a pain|indian_male
119706\audio.wav|the song reminds me of which i|indian_male
11973\audio.wav|a bad existence not in it|indian_male
119732\audio.wav|the man in competition|indian_male
119795\audio.wav|have a good chap|indian_male
119802\audio.wav|just handling them made him feel that|indian_male
119869\audio.wav|the light boat need ganging again|indian_male
119876\audio.wav|tis so and hastened pedestrians|indian_male
119901\audio.wav|the day they saw the sea that offered refreshing went|indian_male
119902\audio.wav|it only a few words mumbled over us by a jet|indian_male
119925\audio.wav|because he was terrified the border in dances|indian_male
119928\audio.wav|this is my last chance|indian_male
119959\audio.wav|a friend has done the boy of all the shop and he had taken a sheep the|indian_male
120002\audio.wav|a muse and heroism|indian_male
120097\audio.wav|two days ago i said that i had done or dreamed of a raven the merchandise|indian_male
120098\audio.wav|this by earth to go to the limit|indian_male
120136\audio.wav|there was no edification for it|indian_male
120175\audio.wav|after all he had all his men|indian_male
120237\audio.wav|a part of me is all so trying to come to films with the fact that i only able to travel as much anymore|indian_male
120251\audio.wav|the sun was start into accord and as|indian_male
12028\audio.wav|reflected in leicester|indian_male
120293\audio.wav|i manifest that the|indian_male
120351\audio.wav|at like to take a bath|indian_male
120394\audio.wav|remember what happened to lisa|indian_male
120458\audio.wav|the boy watched as his companion went to his horse and we drew a cimeter|indian_male
120480\audio.wav|the original was that of the jews scattered bits|indian_male
120524\audio.wav|water slow that does it asked|indian_male
12060\audio.wav|that's the new the safe a notion before|indian_male
120731\audio.wav|finally a den he fugitives a computer in vein|indian_male
120748\audio.wav|he is one|indian_male
12083\audio.wav|even stop at ingersoll|indian_male
120874\audio.wav|i see expectation as for london with the same ease mediation the|indian_male
120911\audio.wav|the first day passed|indian_male
120927\audio.wav|but you want to know something|indian_male
120942\audio.wav|casey|indian_male
120963\audio.wav|the brown man had been distilled|indian_male
121058\audio.wav|there is only one way to larn the alchemist honored|indian_male
121090\audio.wav|that a girl in|indian_male
121218\audio.wav|it is curiously at little more|indian_male
121262\audio.wav|i ate|indian_male
121297\audio.wav|it acrimonious cannot preserve solidement|indian_male
121331\audio.wav|let the chemist answered|indian_male
121348\audio.wav|the aim to|indian_male
121391\audio.wav|the cold potato|indian_male
121392\audio.wav|he won me i haven't thought of at the moment since i met a merchant's daughter|indian_male
121428\audio.wav|but as i depredators|indian_male
121467\audio.wav|a parable the difficulties in translation that might rise|indian_male
12159\audio.wav|but using it as foin|indian_male
121607\audio.wav|don't be impatient he repeated to himself|indian_male
121622\audio.wav|he became friendly with the camel driver who travelled alongside him|indian_male
121623\audio.wav|he can't have a boat the morning|indian_male
121657\audio.wav|for any sound on on for|indian_male
121660\audio.wav|i suddenly become quite a bore|indian_male
121669\audio.wav|looking through the velasco i saw a second of deep blue and the little upland|indian_male
